X Path Row ID Date Craft Sensor Type CloudCover Quality Month
1 143 53 LE71430531999258EDC00 1999-09-15 LANDSAT_7 ETM L1T 1 9 9
42 143 54 LE71430541999258EDC00 1999-09-15 LANDSAT_7 ETM L1T 5 9 9
154 144 54 LE71440541999265SGS01 1999-09-22 LANDSAT_7 ETM L1T 6 9 9
875 148 46 LE71480461999293SGS00 1999-10-20 LANDSAT_7 ETM L1T 0 9 10
989 148 47 LE71480471999293SGS00 1999-10-20 LANDSAT_7 ETM L1T 0 9 10
343 146 47 LE71460471999295SGS00 1999-10-22 LANDSAT_7 ETM L1T 0 9 10
506 147 46 LE71470461999302EDC00 1999-10-29 LANDSAT_7 ETM L1T 8 9 10
612 147 47 LE71470471999302EDC00 1999-10-29 LANDSAT_7 ETM L1T 4 9 10
692 147 48 LE71470481999302EDC00 1999-10-29 LANDSAT_7 ETM L1T 5 9 10
192 145 50 LE71450501999304SGS00 1999-10-31 LANDSAT_7 ETM L1T 0 9 10
305 145 52 LE71450521999304SGS00 1999-10-31 LANDSAT_7 ETM L1T 9 9 10
2 143 53 LE71430531999306EDC01 1999-11-02 LANDSAT_7 ETM L1T 9 9 11
43 143 54 LE71430541999306EDC01 1999-11-02 LANDSAT_7 ETM L1T 10 9 11
496 146 50 LE71460501999311SGS00 1999-11-07 LANDSAT_7 ETM L1T 3 9 11
79 144 52 LE71440521999313SGS00 1999-11-09 LANDSAT_7 ETM L1T 0 9 11
118 144 53 LE71440531999313SGS00 1999-11-09 LANDSAT_7 ETM L1T 3 9 11
155 144 54 LE71440541999313SGS00 1999-11-09 LANDSAT_7 ETM L1T 6 9 11
613 147 47 LE71470471999318SGS00 1999-11-14 LANDSAT_7 ETM L1T 0 9 11
693 147 48 LE71470481999318SGS00 1999-11-14 LANDSAT_7 ETM L1T 0 9 11
768 147 49 LE71470491999318SGS00 1999-11-14 LANDSAT_7 ETM L1T 0 9 11
193 145 50 LE71450501999336SGS00 1999-12-02 LANDSAT_7 ETM L1T 0 9 12
3 143 53 LE71430531999338SGS00 1999-12-04 LANDSAT_7 ETM L1T 6 9 12
44 143 54 LE71430541999338SGS00 1999-12-04 LANDSAT_7 ETM L1T 9 9 12
876 148 46 LE71480461999341SGS00 1999-12-07 LANDSAT_7 ETM L1T 0 9 12
990 148 47 LE71480471999341SGS01 1999-12-07 LANDSAT_7 ETM L1T 0 9 12
344 146 47 LE71460471999343SGS00 1999-12-09 LANDSAT_7 ETM L1T 1 9 12
507 147 46 LE71470461999350EDC00 1999-12-16 LANDSAT_7 ETM L1T 0 9 12
258 145 51 LE71450511999352EDC00 1999-12-18 LANDSAT_7 ETM L1T 4 9 12
156 144 54 LE71440542000028EDC00 2000-01-28 LANDSAT_7 ETM L1T 0 9 1
508 147 46 LE71470462000033SGS00 2000-02-02 LANDSAT_7 ETM L1T 1 9 2
614 147 47 LE71470472000033SGS00 2000-02-02 LANDSAT_7 ETM L1T 5 9 2
769 147 49 LE71470492000049SGS00 2000-02-18 LANDSAT_7 ETM L1T 0 9 2
194 145 50 LE71450502000051EDC00 2000-02-20 LANDSAT_7 ETM L1T 0 9 2
877 148 46 LE71480462000056SGS01 2000-02-25 LANDSAT_7 ETM L1T 1 9 2
509 147 46 LE71470462000065SGS00 2000-03-05 LANDSAT_7 ETM L1T 0 9 3
345 146 47 LE71460472000074SGS00 2000-03-14 LANDSAT_7 ETM L1T 0 9 3
425 146 49 LE71460492000074SGS00 2000-03-14 LANDSAT_7 ETM L1T 0 9 3
497 146 50 LE71460502000074SGS00 2000-03-14 LANDSAT_7 ETM L1T 0 9 3
